GRE_Score,TOEFL_Score,CGPA,Work_Experience,Preferred_Country,Preferred_Course,Chance_of_Admit
318,115,7.74248707041178,27,Canada,Engineering,0.5761887911332061
331,103,6.742983449611327,46,Germany,Data Science,0.4283327512009109
308,93,8.316709268178947,14,Canada,MBA,0.36127646841244077
294,111,6.736643972572752,3,USA,Computer Science,0.1
322,112,9.301247777378265,28,Australia,Data Science,0.6824441757000721
287,114,7.317992286686516,58,Canada,Computer Science,0.45892066671028736
300,90,8.390041701115788,8,Germany,MBA,0.2323901315331824
318,111,9.580276806465104,26,Canada,Data Science,0.6644356280131224
337,112,8.77807079166518,25,UK,MBA,0.7398043754133861
298,108,8.365352252929673,18,Canada,Business Analytics,0.3259397759258976
302,97,7.635168135903815,55,USA,MBA,0.386698570570662
290,104,7.665506695703693,27,Australia,Business Analytics,0.37774392600381645
290,110,8.843204343193666,16,Australia,Data Science,0.5599460721717254
303,104,9.979487764274086,42,USA,Business Analytics,0.7021680727718186
332,98,8.816437164472825,56,UK,Data Science,0.6584123250276956
315,110,8.452241960795087,40,USA,Data Science,0.5501069300155957
319,98,9.057276785837361,41,Canada,Engineering,0.6370056025622437
303,99,8.128219642993013,49,USA,Data Science,0.48263041097174214
282,109,6.710498199102748,19,USA,Business Analytics,0.2694533750432265
301,114,8.468038855572685,44,UK,Engineering,0.6084589689780242
332,110,9.85168849576883,39,Canada,Engineering,0.8447554381965766
281,115,7.113560298251809,38,Germany,Data Science,0.2783608142800929
303,98,8.915017117872331,48,Germany,MBA,0.7017375417933769
323,92,7.203267910306698,52,Australia,MBA,0.46670321546341736
309,109,8.375396895655784,22,USA,Engineering,0.47589348811035526
317,114,6.838367573763518,46,Australia,Data Science,0.44743943367911393
281,115,8.076298276903648,31,UK,MBA,0.343775637503119
339,100,9.14657165113336,51,Germany,Data Science,0.6547378552655789
300,95,7.716500334836438,46,USA,Data Science,0.394661159255959
312,91,8.827191035705264,32,UK,Engineering,0.6000874006227529
291,96,9.284074862764053,56,UK,Engineering,0.4616521242035265
337,107,9.745122368178084,45,USA,Computer Science,0.8561342575857319
301,116,7.321247286494088,4,UK,MBA,0.3035115937853016
323,91,7.8976057053325786,42,USA,MBA,0.5108014926022159
304,116,7.033456046656461,47,USA,MBA,0.4198498974959387
328,106,9.973692257554314,33,Canada,Business Analytics,0.7314906681424701
306,100,9.744503387735033,39,Australia,Data Science,0.5992452014722314
338,116,8.389849955981958,10,UK,Engineering,0.6194678255130135
321,101,9.447116530317475,49,UK,MBA,0.786529228149929
307,116,8.323352920452148,2,Canada,Computer Science,0.5430461547553245
339,108,8.682549908009658,57,Canada,MBA,0.7613668808454688
295,111,6.811935512406058,32,Canada,Data Science,0.357039944518974
294,113,9.143446471738827,10,Germany,Data Science,0.5034489762289144
326,114,6.946997192723322,15,Germany,Engineering,0.42225225553158463
330,96,9.391236705883848,17,Germany,Business Analytics,0.6557829441285701
323,109,9.23709830684635,29,USA,Engineering,0.7095524989993363
334,95,8.980606442100417,47,UK,MBA,0.6682256394539405
331,110,6.626561331836667,54,Australia,Computer Science,0.505557439319016
336,113,7.560949245808651,9,USA,Engineering,0.5781174676604577
282,90,7.42089399468795,17,UK,Business Analytics,0.1642220099246395
316,106,7.760477426150317,37,UK,Engineering,0.49869370809482355
330,118,6.806749613673435,18,Canada,Data Science,0.49476610941957516
286,100,9.77935238060872,35,Canada,MBA,0.5756184322553557
300,111,8.438307842493316,58,USA,MBA,0.5683901053543042
288,115,7.569335087303083,12,Canada,MBA,0.293500671409302
318,117,7.8894353097599925,55,UK,MBA,0.6307527720034252
297,107,8.065208891766925,45,Canada,MBA,0.3816828297107694
283,110,8.60208016676216,2,Germany,MBA,0.34972163356905417
304,106,8.304877996937742,9,Canada,Computer Science,0.3051937756628862
339,96,9.71787190625046,37,UK,Business Analytics,0.7014672001139419
293,106,8.239372190170407,0,USA,MBA,0.25247610069149673
329,109,9.972553051881594,54,Australia,Business Analytics,0.9242307930519775
337,98,9.479987352107836,55,Canada,MBA,0.8037690738965045
288,106,7.229786800250675,26,UK,Engineering,0.20530175458211758
305,109,9.757083251253707,45,Australia,MBA,0.7292913880298343
